Date,Domestic_Aviation,Ground_Transport,Industry,International_Aviation,Power,Residential,snp_500
2019-02-13,0.416444,5.09973,2.91564,0.171095,4.42648,3.37972,2753.030029296875
2019-02-14,0.451283,5.1494,2.80049,0.189511,4.25166,2.85732,2745.72998046875
2019-02-15,0.468259,5.16466,2.64393,0.194159,4.01397,2.73335,2775.60009765625
2019-02-19,0.445784,4.85744,3.21539,0.190738,4.88155,4.26059,2779.760009765625
2019-02-20,0.414393,5.09973,3.374,0.178516,5.12234,3.83272,2784.699951171875
2019-02-21,0.448996,5.1494,3.10835,0.191894,4.71904,3.25797,2774.8798828125
2019-02-22,0.458516,5.16466,2.9439,0.199679,4.46938,3.16236,2792.669921875
2019-02-25,0.414961,3.90573,2.5977,0.199849,3.94378,3.46166,2796.110107421875
2019-02-26,0.446027,4.85744,2.91669,0.193914,4.42806,3.45363,2793.89990234375
2019-02-27,0.452742,5.09973,3.03111,0.182828,4.60178,3.22936,2792.3798828125
2019-02-28,0.46551,5.1494,3.03502,0.19974,4.60771,3.43763,2784.489990234375
2019-03-01,0.4688,5.20047,3.14646,0.20106,4.79831,3.56148,2803.68994140625
2019-03-04,0.421186,3.93281,2.9548,0.199321,4.50603,4.70134,2792.81005859375
2019-03-05,0.458926,4.89112,3.57945,0.198944,5.45861,4.96613,2789.64990234375
2019-03-06,0.461096,5.1351,3.60411,0.182986,5.49622,4.70891,2771.449951171875
2019-03-07,0.477711,5.18511,3.42868,0.201416,5.22869,4.09541,2748.929931640625
2019-03-08,0.482211,5.20047,3.18395,0.207071,4.85547,3.44049,2743.070068359375
2019-03-11,0.45995,3.93281,2.49996,0.207126,3.8124,2.58687,2783.300048828125
2019-03-12,0.473091,4.89112,2.76294,0.20012,4.21344,2.63129,2791.52001953125
2019-03-13,0.461316,5.1351,2.55573,0.190004,3.89744,2.33013,2810.919921875
2019-03-14,0.462001,5.18511,2.41391,0.202028,3.68118,1.71477,2808.47998046875
2019-03-15,0.495112,5.20047,2.32593,0.209579,3.54701,1.88626,2822.47998046875
2019-03-18,0.456006,3.93281,2.53229,0.205796,3.8617,2.73577,2832.93994140625
2019-03-19,0.475841,4.89112,2.78433,0.200315,4.24607,2.61897,2832.570068359375
2019-03-20,0.478663,5.1351,2.65543,0.194253,4.04949,2.44228,2824.22998046875
2019-03-21,0.487176,5.18511,2.65909,0.206151,4.05508,2.29441,2854.8798828125
2019-03-22,0.487048,5.20047,2.64505,0.2113,4.03366,2.31426,2800.7099609375
2019-03-25,0.448317,3.93281,2.21008,0.216417,3.37034,1.85569,2798.360107421875
2019-03-26,0.472088,4.89112,2.57156,0.195897,3.92159,2.36952,2818.4599609375
2019-03-27,0.48142,5.1351,2.50364,0.191539,3.81802,2.21267,2805.3701171875
2019-03-28,0.495131,5.18511,2.28882,0.206838,3.49042,1.70413,2815.43994140625
2019-03-29,0.493628,5.20047,2.26248,0.207868,3.45025,1.51824,2834.39990234375
2019-04-01,0.451181,3.94679,2.84985,0.219273,3.59705,4.2357,2867.18994140625
2019-04-02,0.480033,4.90851,3.14469,0.210054,3.96921,3.53852,2867.239990234375
2019-04-03,0.472934,5.15335,3.0794,0.208967,3.8868,2.73665,2873.39990234375
2019-04-04,0.485112,5.20354,2.85641,0.213967,3.60534,2.33915,2879.389892578125
2019-04-05,0.490976,5.21896,3.00404,0.219418,3.79168,2.539,2892.739990234375
2019-04-08,0.454034,3.94679,2.55618,0.218915,3.22639,0.780623,2895.77001953125
2019-04-09,0.47677,4.90851,3.00058,0.208671,3.78731,1.15633,2878.199951171875
2019-04-10,0.509019,5.15335,2.81778,0.259686,3.55658,2.05464,2888.2099609375
2019-04-11,0.332265,5.20354,2.67692,0.139274,3.37879,2.39318,2888.320068359375
2019-04-12,0.49159,5.21896,2.75389,0.217525,3.47595,2.08568,2907.409912109375
2019-04-15,0.449877,3.94679,2.58467,0.21851,3.26235,2.2766,2905.580078125
2019-04-16,0.484827,4.90851,2.68729,0.209284,3.39187,1.96661,2907.06005859375
2019-04-17,0.484188,5.15335,2.68175,0.204022,3.38489,1.35448,2900.449951171875
2019-04-18,0.483196,5.20354,2.65291,0.218041,3.34849,1.09857,2905.030029296875
2019-04-22,0.459904,3.94679,2.05431,0.216734,2.59293,1.06234,2907.969970703125
2019-04-23,0.482327,4.90851,2.61533,0.212507,3.30105,0.779782,2933.679931640625
2019-04-24,0.472967,5.15335,2.84897,0.201262,3.59595,1.0282,2927.25
2019-04-25,0.496281,5.20354,2.96802,0.214704,3.74622,1.00583,2926.169921875
2019-04-26,0.478711,5.21896,2.82829,0.21757,3.56984,1.1094,2939.8798828125
2019-04-29,0.45617,3.94679,2.475,0.217552,3.12393,1.97698,2943.030029296875
2019-04-30,0.470028,4.90851,2.93943,0.209112,3.71013,1.73581,2945.830078125
2019-05-01,0.477949,5.10144,2.61544,0.207398,3.86755,2.30067,2923.72998046875
2019-05-02,0.477983,5.15112,2.66667,0.216558,3.94332,1.96105,2917.52001953125
2019-05-03,0.487628,5.16638,2.65452,0.216858,3.92535,1.96485,2945.639892578125
2019-05-06,0.455965,3.90703,2.24581,0.222937,3.32097,1.29357,2932.469970703125
2019-05-07,0.477341,4.85906,2.52767,0.21311,3.73777,1.53111,2884.050048828125
2019-05-08,0.467432,5.10144,2.56382,0.205931,3.79122,1.62478,2879.419921875
2019-05-09,0.494755,5.15112,2.50748,0.219026,3.70791,1.686,2870.719970703125
2019-05-10,0.489765,5.16638,2.55511,0.21959,3.77835,2.03061,2881.39990234375
2019-05-13,0.447058,3.90703,2.27056,0.220981,3.35757,2.5065,2811.8701171875
2019-05-14,0.495105,4.85906,2.51982,0.217707,3.72616,2.21463,2834.409912109375
2019-05-15,0.49042,5.10144,2.54821,0.213417,3.76814,1.44725,2850.9599609375
2019-05-16,0.51014,5.15112,2.56804,0.225686,3.79747,0.828815,2876.320068359375
2019-05-17,0.515103,5.16638,2.51743,0.227259,3.72263,1.07337,2859.530029296875
2019-05-20,0.481072,3.90703,2.47511,0.228868,3.66004,1.56695,2840.22998046875
2019-05-21,0.500307,4.85906,2.73564,0.218891,4.04529,1.94635,2864.360107421875
2019-05-22,0.507909,5.10144,2.54978,0.214211,3.77046,1.38927,2856.27001953125
2019-05-23,0.507024,5.15112,2.71809,0.229217,4.01935,0.920947,2822.239990234375
2019-05-24,0.523726,5.16638,2.87536,0.228854,4.25191,0.865859,2826.06005859375
2019-05-28,0.464801,4.85906,2.64812,0.223503,3.91588,0.923603,2802.389892578125
2019-05-29,0.481073,5.10144,3.11753,0.212131,4.61002,0.851176,2783.02001953125
2019-05-30,0.514213,5.15112,3.16952,0.227015,4.68689,0.547572,2788.860107421875
2019-05-31,0.52347,5.16638,3.18959,0.23383,4.71657,0.280017,2752.06005859375
2019-06-03,0.48013,4.04117,2.56305,0.227727,4.16035,3.23127,2744.449951171875
2019-06-04,0.505972,5.02589,2.68549,0.22236,4.35909,2.62683,2803.27001953125
2019-06-05,0.498147,5.27658,2.72014,0.217763,4.41534,0.763254,2826.14990234375
2019-06-06,0.52229,5.32797,2.9865,0.232472,4.8477,1.15664,2843.489990234375
2019-06-07,0.527003,5.34376,2.97216,0.235772,4.82442,1.3515,2873.340087890625
2019-06-10,0.474281,4.04117,2.31041,0.233576,3.75027,1.00051,2886.72998046875
2019-06-11,0.521571,5.02589,2.70079,0.22731,4.38393,0.720281,2885.719970703125
2019-06-12,0.523857,5.27658,2.64639,0.223483,4.29563,0.953128,2879.840087890625
2019-06-13,0.53568,5.32797,2.51292,0.235074,4.07898,2.57578,2891.639892578125
2019-06-14,0.533968,5.34376,2.39876,0.234872,3.89368,1.89798,2886.97998046875
2019-06-17,0.49186,4.04117,2.52482,0.237638,4.0983,1.22098,2889.669921875
2019-06-18,0.517908,5.02589,2.98928,0.239095,4.85221,0.705822,2917.75
2019-06-19,0.52225,5.27658,3.05852,0.226638,4.9646,0.720144,2926.4599609375
2019-06-20,0.526393,5.32797,3.09036,0.239465,5.01628,1.20019,2954.179931640625
2019-06-21,0.542865,5.34376,2.95261,0.239724,4.79269,1.51513,2950.4599609375
2019-06-24,0.488101,4.04117,2.63001,0.234292,4.26903,0.678534,2945.35009765625
2019-06-25,0.517667,5.02589,2.94788,0.232413,4.785,0.442661,2917.3798828125
2019-06-26,0.514806,5.27658,3.08483,0.219591,5.00731,0.398285,2913.780029296875
2019-06-27,0.523191,5.32797,3.21305,0.233343,5.21544,0.561571,2924.919921875
2019-06-28,0.518118,5.34376,3.28006,0.236216,5.3242,0.496558,2941.760009765625
2019-07-01,0.46001,3.89978,2.33067,0.231396,5.02454,1.22074,2964.330078125
2019-07-02,0.476509,4.85005,2.55463,0.230395,5.50736,2.19612,2973.010009765625
2019-07-03,0.487605,5.09197,2.65066,0.224012,5.7144,2.66755,2995.820068359375
2019-07-05,0.400612,5.1568,2.34244,0.232431,5.04993,1.82527,2990.409912109375
2019-07-08,0.492942,3.89978,2.37203,0.24184,5.11371,2.44085,2975.949951171875
2019-07-09,0.527093,4.85005,2.47256,0.23341,5.33044,1.87321,2979.6298828125
2019-07-10,0.519542,5.09197,2.60571,0.226796,5.61748,0.851898,2993.070068359375
2019-07-11,0.508505,5.14156,2.72394,0.237083,5.87238,0.533522,2999.909912109375
2019-07-12,0.524861,5.1568,2.72294,0.23618,5.87021,0.597843,3013.77001953125
2019-07-15,0.490459,3.89978,2.57392,0.241457,5.54896,0.440888,3014.300048828125
2019-07-16,0.523433,4.85005,2.77248,0.234087,5.97702,0.55779,3004.0400390625
2019-07-17,0.520768,5.09197,2.83321,0.223626,6.10794,0.649438,2984.419921875
2019-07-18,0.517761,5.14156,2.79751,0.241886,6.03097,0.95066,2995.110107421875
2019-07-19,0.535155,5.1568,2.71941,0.24123,5.86259,1.67687,2976.610107421875
2019-07-22,0.485808,3.89978,2.65533,0.240034,5.72447,0.515578,2985.030029296875
2019-07-23,0.515322,4.85005,2.61725,0.231626,5.64236,0.544719,3005.469970703125
2019-07-24,0.532891,5.09197,2.45737,0.228196,5.29768,0.657596,3019.56005859375
2019-07-25,0.536912,5.14156,2.40958,0.240947,5.19467,0.502396,3003.669921875
2019-07-26,0.531322,5.1568,2.35666,0.235151,5.08057,0.589219,3025.860107421875
2019-07-29,0.483381,3.89978,2.42349,0.24515,5.22465,0.527473,3020.969970703125
2019-07-30,0.514465,4.85005,2.70557,0.227796,5.83277,0.991197,3013.179931640625
2019-07-31,0.518313,5.09197,2.66816,0.227645,5.75213,0.733381,2980.3798828125
2019-08-01,0.517038,5.32172,2.73561,0.239216,5.53129,0.68458,2953.56005859375
2019-08-02,0.513694,5.33749,2.69623,0.234263,5.45166,0.498096,2932.050048828125
2019-08-05,0.481897,4.03643,2.62972,0.234599,5.31718,0.50891,2844.739990234375
2019-08-06,0.504164,5.01999,2.8547,0.225021,5.77208,0.445314,2881.77001953125
2019-08-07,0.497366,5.27039,2.90732,0.225034,5.87847,0.540217,2883.97998046875
2019-08-08,0.512004,5.32172,2.85459,0.232361,5.77186,0.965594,2938.090087890625
2019-08-09,0.522215,5.33749,2.80766,0.231739,5.67698,0.791498,2918.64990234375
2019-08-12,0.484523,4.03643,2.50673,0.23372,5.06851,0.905445,2882.699951171875
2019-08-13,0.497609,5.01999,2.9257,0.227441,5.91563,0.618221,2926.320068359375
2019-08-14,0.502494,5.27039,2.96199,0.223944,5.98901,0.530507,2840.60009765625
2019-08-15,0.512335,5.32172,2.90121,0.240699,5.86611,0.440536,2847.60009765625
2019-08-16,0.519284,5.33749,2.81434,0.233061,5.69047,0.598688,2888.679931640625
2019-08-19,0.472014,4.03643,2.65268,0.235003,5.3636,0.894955,2923.64990234375
2019-08-20,0.490563,5.01999,2.96583,0.231418,5.99677,0.713415,2900.510009765625
2019-08-21,0.494064,5.27039,2.91637,0.21717,5.89677,0.789393,2924.429931640625
2019-08-22,0.510873,5.32172,2.90883,0.232624,5.88152,2.02055,2922.949951171875
2019-08-23,0.505095,5.33749,2.78777,0.22596,5.63674,2.21102,2847.110107421875
2019-08-26,0.463458,4.03643,2.12503,0.233056,4.29673,3.34136,2878.3798828125
2019-08-27,0.486894,5.01999,2.38612,0.222341,4.82463,3.11969,2869.159912109375
2019-08-28,0.492058,5.27039,2.43497,0.219836,4.9234,1.88892,2887.93994140625
2019-08-29,0.507774,5.32172,2.48809,0.229569,5.03082,0.96087,2924.580078125
2019-08-30,0.513426,5.33749,2.43102,0.229198,4.91541,2.00846,2926.4599609375
2019-09-03,0.404329,4.78666,2.668,0.216574,4.79847,0.11996,2906.27001953125
2019-09-04,0.441639,5.02542,2.92245,0.205503,5.25612,0.241935,2937.780029296875
2019-09-05,0.478866,5.07436,3.04781,0.225183,5.48157,0.641727,2976.0
2019-09-06,0.474246,5.0894,2.91452,0.222734,5.24184,0.731753,2978.7099609375
2019-09-09,0.458243,3.84881,2.52061,0.220511,4.53339,1.26244,2978.429931640625
2019-09-10,0.474082,4.78666,2.78059,0.207127,5.00097,0.689095,2979.389892578125
2019-09-11,0.473785,5.02542,2.93392,0.211527,5.27674,0.646334,3000.929931640625
2019-09-12,0.494573,5.07436,3.01504,0.220169,5.42264,0.854914,3009.570068359375
2019-09-13,0.503776,5.0894,3.02602,0.223899,5.44238,1.20441,3007.389892578125
2019-09-16,0.462038,3.84881,2.68062,0.225504,4.82118,0.553489,2997.9599609375
2019-09-17,0.47691,4.78666,2.94582,0.217167,5.29814,1.047,3005.699951171875
2019-09-18,0.474893,5.02542,2.81747,0.209707,5.06731,1.5357,3006.72998046875
2019-09-19,0.483832,5.07436,2.77101,0.219742,4.98374,2.17686,3006.7900390625
2019-09-20,0.491786,5.0894,2.64915,0.214952,4.76457,1.5155,2992.070068359375
2019-09-23,0.460379,3.84881,2.59527,0.224265,4.66768,0.770088,2991.780029296875
2019-09-24,0.480959,4.78666,2.84754,0.216375,5.12138,0.631693,2966.60009765625
2019-09-25,0.478778,5.02542,2.63063,0.21118,4.73127,0.934449,2984.8701171875
2019-09-26,0.494405,5.07436,2.70191,0.223736,4.85946,1.16554,2977.6201171875
2019-09-27,0.490704,5.0894,2.68115,0.218598,4.82212,1.78361,2961.7900390625
2019-09-30,0.460546,3.84881,2.4153,0.222282,4.34398,3.52033,2976.739990234375
2019-10-01,0.47918,4.84971,3.25307,0.212164,4.85256,0.533147,2940.25
2019-10-02,0.473226,5.09162,3.46253,0.203678,5.16501,0.556981,2887.610107421875
2019-10-03,0.494544,5.14121,3.58095,0.22039,5.34165,0.840969,2910.6298828125
2019-10-04,0.49972,5.15645,3.33284,0.215877,4.97155,1.02662,2952.010009765625
2019-10-07,0.459471,3.89952,2.5481,0.217257,3.80096,0.648036,2938.7900390625
2019-10-08,0.480437,4.84971,2.83495,0.203297,4.22885,0.861972,2893.06005859375
2019-10-09,0.475899,5.09162,2.57794,0.202579,3.84548,1.00453,2919.39990234375
2019-10-10,0.487255,5.14121,2.56421,0.213506,3.82499,1.049,2938.1298828125
2019-10-11,0.497616,5.15645,2.64245,0.216157,3.94171,1.37993,2970.27001953125
2019-10-14,0.470595,3.89952,2.27029,0.219835,3.38655,1.57196,2966.14990234375
2019-10-15,0.483023,4.84971,2.54259,0.210347,3.79274,1.47441,2995.679931640625
2019-10-16,0.484518,5.09162,2.5054,0.207808,3.73726,1.5635,2989.68994140625
2019-10-17,0.497354,5.14121,2.59107,0.213298,3.86506,2.00361,2997.949951171875
2019-10-18,0.507748,5.15645,2.37426,0.218481,3.54165,1.98884,2986.199951171875
2019-10-21,0.464251,3.89952,2.227,0.215081,3.32199,1.24071,3006.719970703125
2019-10-22,0.489455,4.84971,2.43943,0.212765,3.63886,1.37556,2995.989990234375
2019-10-23,0.492847,5.09162,2.47797,0.199783,3.69635,1.66328,3004.52001953125
2019-10-24,0.502324,5.14121,2.44113,0.215525,3.6414,2.04556,3010.2900390625
2019-10-25,0.500979,5.15645,2.5923,0.217829,3.8669,2.24937,3022.550048828125
2019-10-28,0.449519,3.89952,2.18866,0.20769,3.26479,2.24938,3039.419921875
2019-10-29,0.456117,4.84971,2.70239,0.197821,4.03112,2.62411,3036.889892578125
2019-10-30,0.452388,5.09162,2.79309,0.189942,4.16641,2.83077,3046.77001953125
2019-10-31,0.447221,5.14121,2.77067,0.198956,4.13297,2.93912,3037.56005859375
2019-11-01,0.451871,5.20527,2.7678,0.201484,4.22471,2.75711,3066.909912109375
2019-11-04,0.461201,3.93644,2.33811,0.208397,3.56885,2.14067,3078.27001953125
2019-11-05,0.469723,4.89564,2.65883,0.197271,4.05838,1.85544,3074.6201171875
2019-11-06,0.473417,5.13984,2.80772,0.190562,4.28566,2.04157,3076.780029296875
2019-11-07,0.488081,5.18989,2.70016,0.194532,4.12147,2.35904,3085.179931640625
2019-11-08,0.502423,5.20527,2.90146,0.200635,4.42873,3.18561,3093.080078125
2019-11-11,0.442422,3.93644,2.42011,0.200496,3.69402,2.45354,3087.010009765625
2019-11-12,0.473538,4.89564,2.78499,0.193997,4.25096,3.76391,3091.840087890625
2019-11-13,0.484983,5.13984,3.37102,0.190094,5.14546,4.43266,3094.0400390625
2019-11-14,0.499246,5.18989,3.39922,0.202098,5.18851,3.65865,3096.6298828125
2019-11-15,0.50935,5.20527,3.27434,0.206712,4.9979,3.11246,3120.4599609375
2019-11-18,0.459002,3.93644,2.70492,0.203,4.12874,2.54656,3122.030029296875
2019-11-19,0.49029,4.89564,2.9024,0.196281,4.43017,2.31255,3120.179931640625
2019-11-20,0.49042,5.13984,2.77857,0.193187,4.24116,2.27845,3108.4599609375
2019-11-21,0.502239,5.18989,2.54613,0.203895,3.88636,2.3541,3103.5400390625
2019-11-22,0.516726,5.20527,2.57635,0.207346,3.93249,2.49133,3110.2900390625
2019-11-25,0.456635,3.93644,2.41395,0.202764,3.68461,2.57343,3133.639892578125
2019-11-26,0.485457,4.89564,2.48498,0.188062,3.79302,2.47158,3140.52001953125
2019-11-27,0.516311,5.13984,2.40215,0.186181,3.6666,2.36512,3153.6298828125
2019-11-29,0.308463,5.20527,2.39394,0.173125,3.65407,3.27498,3140.97998046875
2019-12-02,0.500934,3.77309,2.32065,0.211501,3.58785,3.33599,3113.8701171875
2019-12-03,0.506715,4.69249,2.84016,0.201974,4.39104,3.44986,3093.199951171875
2019-12-04,0.504203,4.92655,2.74003,0.199823,4.23624,3.02975,3112.760009765625
2019-12-05,0.52031,4.97453,2.76712,0.205327,4.27812,2.81201,3117.429931640625
2019-12-06,0.515718,4.98928,2.61926,0.20905,4.04952,2.72904,3145.909912109375
2019-12-09,0.454551,3.77309,2.38917,0.212646,3.69379,2.26733,3135.9599609375
2019-12-10,0.494197,4.69249,2.50325,0.199524,3.87016,2.78802,3132.52001953125
2019-12-11,0.500238,4.92655,2.80476,0.198806,4.33632,3.87564,3141.6298828125
2019-12-12,0.525136,4.97453,3.00714,0.207058,4.6492,3.71276,3168.570068359375
2019-12-13,0.515387,4.98928,2.98185,0.210479,4.61011,3.12078,3168.800048828125
2019-12-16,0.459318,3.77309,2.61399,0.217959,4.04137,3.43341,3191.449951171875
2019-12-17,0.488744,4.69249,2.83911,0.203256,4.38942,3.69724,3192.52001953125
2019-12-18,0.509142,4.92655,3.01948,0.209236,4.66829,4.25633,3191.139892578125
2019-12-19,0.54125,4.97453,3.34621,0.214431,5.17343,4.52271,3205.3701171875
2019-12-20,0.553627,4.98928,3.06331,0.223726,4.73604,3.91269,3221.219970703125
2019-12-23,0.504218,3.77309,2.51754,0.217633,3.89225,2.86461,3224.010009765625
2019-12-24,0.495844,4.69249,2.46708,0.206651,3.81424,2.72958,3223.3798828125
2019-12-26,0.450385,4.97453,2.04229,0.190069,3.15749,2.60643,3239.909912109375
2019-12-27,0.517159,4.98928,2.29132,0.210009,3.54251,2.5362,3240.02001953125
2019-12-30,0.466467,3.77309,2.01316,0.208713,3.11246,2.72929,3221.2900390625
2019-12-31,0.485173,4.69249,2.25912,0.198247,3.49273,3.3298,3230.780029296875
2020-01-02,0.441979,4.83646,2.16611,0.204711,3.05954,2.6942,3257.85009765625
2020-01-03,0.475137,4.85082,2.45253,0.211091,3.4641,2.30792,3234.85009765625
2020-01-06,0.451718,3.66768,2.22865,0.215717,3.14787,3.03535,3246.280029296875
2020-01-07,0.450826,4.56241,2.56018,0.203247,3.61614,2.99468,3237.179931640625
2020-01-08,0.374606,4.78953,2.59653,0.189421,3.66749,3.40652,3253.050048828125
2020-01-09,0.440829,4.83646,2.52305,0.199783,3.5637,3.20377,3274.699951171875
2020-01-10,0.458329,4.85082,2.4441,0.208024,3.45218,2.42122,3265.35009765625
2020-01-13,0.425414,3.66768,2.30956,0.21254,3.26215,2.8427,3288.1298828125
2020-01-14,0.441076,4.56241,2.49689,0.192671,3.52675,2.50038,3283.14990234375
2020-01-15,0.442696,4.78953,2.46897,0.185693,3.48732,2.44958,3289.2900390625
2020-01-16,0.455374,4.83646,2.43727,0.201604,3.44254,2.84387,3316.81005859375
2020-01-17,0.465527,4.85082,2.66378,0.211639,3.76247,3.71335,3329.6201171875
2020-01-21,0.448098,4.56241,3.40578,0.195905,4.81051,4.34121,3320.7900390625
2020-01-22,0.435912,4.78953,3.19233,0.183424,4.50903,3.9428,3321.75
2020-01-23,0.457728,4.83646,3.14908,0.195212,4.44795,3.27892,3325.5400390625
2020-01-24,0.468277,4.85082,2.85676,0.205574,4.03505,2.79891,3295.469970703125
2020-01-27,0.427958,3.66768,2.49611,0.201226,3.52565,2.84631,3243.6298828125
2020-01-28,0.442746,4.56241,2.64899,0.181234,3.74158,2.95293,3276.239990234375
2020-01-29,0.437818,4.78953,2.6988,0.173061,3.81194,3.26683,3273.39990234375
2020-01-30,0.459729,4.83646,2.90042,0.186995,4.09671,3.39695,3283.659912109375
2020-01-31,0.467713,4.85082,2.8493,0.194741,4.02452,3.13879,3225.52001953125
2020-02-03,0.422339,3.87363,2.23497,0.193518,2.92278,2.17342,3248.919921875
2020-02-04,0.4489,4.81861,2.39679,0.178564,3.13439,2.34452,3297.590087890625
2020-02-05,0.433497,5.05848,2.60133,0.168429,3.40188,3.00467,3334.68994140625
2020-02-06,0.436075,5.10804,3.02742,0.183547,3.9591,3.13812,3345.780029296875
2020-02-07,0.458504,5.12321,3.08102,0.181999,4.02919,3.08266,3327.7099609375
2020-02-10,0.425293,3.87363,2.37918,0.18271,3.11136,2.63319,3352.090087890625
2020-02-11,0.438564,4.81861,2.90303,0.166918,3.79643,2.57471,3357.75
2020-02-12,0.437561,5.05848,2.87094,0.166194,3.75447,2.79254,3379.449951171875
2020-02-13,0.451976,5.10804,2.88757,0.180081,3.77621,3.10646,3373.93994140625
2020-02-14,0.49306,5.12321,3.1881,0.185059,4.16923,4.00801,3380.159912109375
2020-02-18,0.458492,4.81861,2.68634,0.175177,3.51306,2.34123,3370.2900390625
2020-02-19,0.465866,5.05848,2.81483,0.16656,3.68109,2.85632,3386.14990234375
2020-02-20,0.467533,5.10804,3.19434,0.180623,4.17739,3.55198,3373.22998046875
2020-02-21,0.475314,5.12321,3.33715,0.183831,4.36415,3.78796,3337.75
2020-02-24,0.439982,3.87363,2.40745,0.187493,3.14834,2.22224,3225.889892578125
2020-02-25,0.455975,4.81861,2.69032,0.176799,3.51826,2.20492,3128.2099609375
2020-02-26,0.455269,5.05848,2.58537,0.168713,3.38102,2.54076,3116.389892578125
2020-02-27,0.477378,5.10804,3.01609,0.183115,3.94429,3.10075,2978.760009765625
2020-02-28,0.484075,5.12321,3.18032,0.184726,4.15906,3.16212,2954.219970703125
2020-03-02,0.439032,3.45854,2.32007,0.19007,3.00646,2.48954,3090.22998046875
2020-03-03,0.45877,4.30225,2.68847,0.182042,3.48386,1.97845,3003.3701171875
2020-03-04,0.461155,4.51642,2.61843,0.168932,3.39311,2.14411,3130.1201171875
2020-03-05,0.481951,4.56067,2.62531,0.17992,3.40202,2.46427,3023.93994140625
2020-03-06,0.484893,4.57421,2.59017,0.188163,3.35648,2.80107,2972.3701171875
2020-03-09,0.452389,3.45854,2.14632,0.184466,2.78132,1.72952,2746.56005859375
2020-03-10,0.472409,4.30225,2.49021,0.173703,3.22694,1.65106,2882.22998046875
2020-03-11,0.476011,4.51642,2.67426,0.167038,3.46545,1.91747,2741.3798828125
2020-03-12,0.494677,4.56067,2.65658,0.175169,3.44253,1.84626,2480.639892578125
2020-03-13,0.488024,4.57421,2.55559,0.185181,3.31167,1.83207,2711.02001953125
2020-03-16,0.445143,3.45854,2.71628,0.164433,3.5199,2.97347,2386.1298828125
2020-03-17,0.46667,4.30225,2.9922,0.147912,3.87745,2.51989,2529.18994140625
2020-03-18,0.43725,4.51642,2.8632,0.131069,3.71028,2.29001,2398.10009765625
2020-03-19,0.421673,4.56067,2.89926,0.132141,3.75701,1.91224,2409.389892578125
2020-03-20,0.398921,4.57421,2.54347,0.134294,3.29596,1.72231,2304.919921875
2020-03-23,0.299546,3.45854,2.50867,0.0996719,3.25087,2.6488,2237.39990234375
2020-03-24,0.320157,4.30225,2.79564,0.0848731,3.62274,2.32467,2447.330078125
2020-03-25,0.305147,4.51642,2.64079,0.080677,3.42208,2.21654,2475.56005859375
