date,country,sector,MtCO2 per day
10/01/2019,United States,International Aviation,0.207945
10/01/2019,United States,Power,4.42184
10/01/2019,United States,Residential,3.63694
11/01/2019,United States,Domestic Aviation,0.37084
11/01/2019,United States,Ground Transport,5.00355
11/01/2019,United States,Industry,2.67503
11/01/2019,United States,International Aviation,0.191114
11/01/2019,United States,Power,4.75776
11/01/2019,United States,Residential,3.70614
12/01/2019,United States,Domestic Aviation,0.387957
12/01/2019,United States,Ground Transport,2.86631
12/01/2019,United States,Industry,2.69422
12/01/2019,United States,International Aviation,0.20705
12/01/2019,United States,Power,4.79189
12/01/2019,United States,Residential,3.49063
13/01/2019,United States,Domestic Aviation,0.347492
13/01/2019,United States,Ground Transport,3.97263
13/01/2019,United States,Industry,2.48207
13/01/2019,United States,International Aviation,0.204942
13/01/2019,United States,Power,4.41456
13/01/2019,United States,Residential,3.64527
14/01/2019,United States,Domestic Aviation,0.409115
14/01/2019,United States,Ground Transport,3.78389
14/01/2019,United States,Industry,2.67129
14/01/2019,United States,International Aviation,0.199001
14/01/2019,United States,Power,4.75112
14/01/2019,United States,Residential,3.85729
15/01/2019,United States,Domestic Aviation,0.423907
15/01/2019,United States,Ground Transport,4.70591
15/01/2019,United States,Industry,2.948
15/01/2019,United States,International Aviation,0.191163
15/01/2019,United States,Power,5.24327
15/01/2019,United States,Residential,3.77744
16/01/2019,United States,Domestic Aviation,0.379857
16/01/2019,United States,Ground Transport,4.94065
16/01/2019,United States,Industry,2.91565
16/01/2019,United States,International Aviation,0.16443
16/01/2019,United States,Power,5.18573
16/01/2019,United States,Residential,3.43935
17/01/2019,United States,Domestic Aviation,0.437966
17/01/2019,United States,Ground Transport,4.98876
17/01/2019,United States,Industry,2.84435
17/01/2019,United States,International Aviation,0.195377
17/01/2019,United States,Power,5.05892
17/01/2019,United States,Residential,3.24845
18/01/2019,United States,Domestic Aviation,0.450628
18/01/2019,United States,Ground Transport,5.00355
18/01/2019,United States,Industry,2.76986
18/01/2019,United States,International Aviation,0.201
18/01/2019,United States,Power,4.92642
18/01/2019,United States,Residential,3.03586
19/01/2019,United States,Domestic Aviation,0.376938
19/01/2019,United States,Ground Transport,2.86631
19/01/2019,United States,Industry,2.45823
19/01/2019,United States,International Aviation,0.205572
19/01/2019,United States,Power,4.37216
19/01/2019,United States,Residential,3.16067
20/01/2019,United States,Domestic Aviation,0.310976
20/01/2019,United States,Ground Transport,3.97263
20/01/2019,United States,Industry,2.49206
20/01/2019,United States,International Aviation,0.196401
20/01/2019,United States,Power,4.43233
20/01/2019,United States,Residential,3.92951
21/01/2019,United States,Domestic Aviation,0.380433
21/01/2019,United States,Ground Transport,3.78389
21/01/2019,United States,Industry,2.83633
21/01/2019,United States,International Aviation,0.201634
21/01/2019,United States,Power,5.04466
21/01/2019,United States,Residential,4.9249
22/01/2019,United States,Domestic Aviation,0.4234
22/01/2019,United States,Ground Transport,4.70591
22/01/2019,United States,Industry,3.05069
22/01/2019,United States,International Aviation,0.195863
22/01/2019,United States,Power,5.4259
22/01/2019,United States,Residential,4.15087
23/01/2019,United States,Domestic Aviation,0.411893
23/01/2019,United States,Ground Transport,4.94065
23/01/2019,United States,Industry,2.90248
23/01/2019,United States,International Aviation,0.185173
23/01/2019,United States,Power,5.16231
23/01/2019,United States,Residential,3.30744
24/01/2019,United States,Domestic Aviation,0.440289
24/01/2019,United States,Ground Transport,4.98876
24/01/2019,United States,Industry,2.75336
24/01/2019,United States,International Aviation,0.194336
24/01/2019,United States,Power,4.89709
24/01/2019,United States,Residential,3.1385
25/01/2019,United States,Domestic Aviation,0.452801
25/01/2019,United States,Ground Transport,5.00355
25/01/2019,United States,Industry,2.70571
25/01/2019,United States,International Aviation,0.197635
25/01/2019,United States,Power,4.81233
25/01/2019,United States,Residential,4.10079
26/01/2019,United States,Domestic Aviation,0.397502
26/01/2019,United States,Ground Transport,2.86631
26/01/2019,United States,Industry,2.94365
26/01/2019,United States,International Aviation,0.205547
26/01/2019,United States,Power,5.23553
26/01/2019,United States,Residential,4.14789
27/01/2019,United States,Domestic Aviation,0.355684
27/01/2019,United States,Ground Transport,3.97263
27/01/2019,United States,Industry,2.72352
27/01/2019,United States,International Aviation,0.220036
27/01/2019,United States,Power,4.84401
27/01/2019,United States,Residential,3.7232
28/01/2019,United States,Domestic Aviation,0.376044
28/01/2019,United States,Ground Transport,3.78389
28/01/2019,United States,Industry,2.53855
28/01/2019,United States,International Aviation,0.181055
28/01/2019,United States,Power,4.51501
28/01/2019,United States,Residential,3.58629
29/01/2019,United States,Domestic Aviation,0.411239
29/01/2019,United States,Ground Transport,4.70591
29/01/2019,United States,Industry,2.63017
29/01/2019,United States,International Aviation,0.193884
29/01/2019,United States,Power,4.67797
29/01/2019,United States,Residential,4.10311
30/01/2019,United States,Domestic Aviation,0.396712
30/01/2019,United States,Ground Transport,4.94065
30/01/2019,United States,Industry,3.06362
30/01/2019,United States,International Aviation,0.177673
30/01/2019,United States,Power,5.4489
30/01/2019,United States,Residential,4.95836
31/01/2019,United States,Domestic Aviation,0.418075
31/01/2019,United States,Ground Transport,4.98876
31/01/2019,United States,Industry,3.36554
31/01/2019,United States,International Aviation,0.192018
31/01/2019,United States,Power,5.98589
31/01/2019,United States,Residential,5.22078
01/02/2019,United States,Domestic Aviation,0.441808
01/02/2019,United States,Ground Transport,5.16466
01/02/2019,United States,Industry,3.85515
01/02/2019,United States,International Aviation,0.201035
01/02/2019,United States,Power,5.85282
01/02/2019,United States,Residential,4.34262
02/02/2019,United States,Domestic Aviation,0.392018
02/02/2019,United States,Ground Transport,2.9586
02/02/2019,United States,Industry,3.3271
02/02/2019,United States,International Aviation,0.20691
02/02/2019,United States,Power,5.05114
02/02/2019,United States,Residential,3.42832
03/02/2019,United States,Domestic Aviation,0.343604
03/02/2019,United States,Ground Transport,4.10055
03/02/2019,United States,Industry,2.56828
03/02/2019,United States,International Aviation,0.203518
03/02/2019,United States,Power,3.89912
03/02/2019,United States,Residential,2.39164
04/02/2019,United States,Domestic Aviation,0.393286
04/02/2019,United States,Ground Transport,3.90573
04/02/2019,United States,Industry,2.30494
04/02/2019,United States,International Aviation,0.193747
04/02/2019,United States,Power,3.49931
04/02/2019,United States,Residential,2.21287
05/02/2019,United States,Domestic Aviation,0.431854
05/02/2019,United States,Ground Transport,4.85744
05/02/2019,United States,Industry,2.63871
05/02/2019,United States,International Aviation,0.187222
05/02/2019,United States,Power,4.00604
05/02/2019,United States,Residential,2.51038
06/02/2019,United States,Domestic Aviation,0.41696
06/02/2019,United States,Ground Transport,5.09973
06/02/2019,United States,Industry,2.86494
06/02/2019,United States,International Aviation,0.170778
06/02/2019,United States,Power,4.3495
06/02/2019,United States,Residential,2.67347
07/02/2019,United States,Domestic Aviation,0.434379
07/02/2019,United States,Ground Transport,5.1494
07/02/2019,United States,Industry,2.84397
07/02/2019,United States,International Aviation,0.188219
07/02/2019,United States,Power,4.31767
07/02/2019,United States,Residential,2.75888
08/02/2019,United States,Domestic Aviation,0.450368
08/02/2019,United States,Ground Transport,5.16466
08/02/2019,United States,Industry,2.84436
08/02/2019,United States,International Aviation,0.188775
08/02/2019,United States,Power,4.31825
08/02/2019,United States,Residential,3.7426
09/02/2019,United States,Domestic Aviation,0.388989
09/02/2019,United States,Ground Transport,2.9586
09/02/2019,United States,Industry,3.137
09/02/2019,United States,International Aviation,0.196802
09/02/2019,United States,Power,4.76253
09/02/2019,United States,Residential,4.43115
10/02/2019,United States,Domestic Aviation,0.349767
10/02/2019,United States,Ground Transport,4.10055
10/02/2019,United States,Industry,3.05201
10/02/2019,United States,International Aviation,0.194661
10/02/2019,United States,Power,4.63351
10/02/2019,United States,Residential,4.08924
11/02/2019,United States,Domestic Aviation,0.402942
11/02/2019,United States,Ground Transport,3.90573
11/02/2019,United States,Industry,3.04454
11/02/2019,United States,International Aviation,0.191476
11/02/2019,United States,Power,4.62217
11/02/2019,United States,Residential,3.4962
12/02/2019,United States,Domestic Aviation,0.399945
12/02/2019,United States,Ground Transport,4.85744
12/02/2019,United States,Industry,2.9978
12/02/2019,United States,International Aviation,0.178107
12/02/2019,United States,Power,4.5512
12/02/2019,United States,Residential,3.21287
13/02/2019,United States,Domestic Aviation,0.416444
13/02/2019,United States,Ground Transport,5.09973
13/02/2019,United States,Industry,2.91564
13/02/2019,United States,International Aviation,0.171095
13/02/2019,United States,Power,4.42648
13/02/2019,United States,Residential,3.37972
14/02/2019,United States,Domestic Aviation,0.451283
14/02/2019,United States,Ground Transport,5.1494
14/02/2019,United States,Industry,2.80049
14/02/2019,United States,International Aviation,0.189511
14/02/2019,United States,Power,4.25166
14/02/2019,United States,Residential,2.85732
15/02/2019,United States,Domestic Aviation,0.468259
15/02/2019,United States,Ground Transport,5.16466
15/02/2019,United States,Industry,2.64393
15/02/2019,United States,International Aviation,0.194159
15/02/2019,United States,Power,4.01397
15/02/2019,United States,Residential,2.73335
16/02/2019,United States,Domestic Aviation,0.409545
16/02/2019,United States,Ground Transport,2.9586
16/02/2019,United States,Industry,2.75693
16/02/2019,United States,International Aviation,0.20368
16/02/2019,United States,Power,4.18552
16/02/2019,United States,Residential,3.37392
17/02/2019,United States,Domestic Aviation,0.351619
17/02/2019,United States,Ground Transport,4.10055
17/02/2019,United States,Industry,2.80578
17/02/2019,United States,International Aviation,0.20599
17/02/2019,United States,Power,4.25969
17/02/2019,United States,Residential,3.66891
18/02/2019,United States,Domestic Aviation,0.407046
18/02/2019,United States,Ground Transport,3.90573
18/02/2019,United States,Industry,2.76904
18/02/2019,United States,International Aviation,0.194228
18/02/2019,United States,Power,4.20391
18/02/2019,United States,Residential,3.77867
19/02/2019,United States,Domestic Aviation,0.445784
19/02/2019,United States,Ground Transport,4.85744
19/02/2019,United States,Industry,3.21539
19/02/2019,United States,International Aviation,0.190738
19/02/2019,United States,Power,4.88155
19/02/2019,United States,Residential,4.26059
20/02/2019,United States,Domestic Aviation,0.414393
20/02/2019,United States,Ground Transport,5.09973
20/02/2019,United States,Industry,3.374
20/02/2019,United States,International Aviation,0.178516
20/02/2019,United States,Power,5.12234
20/02/2019,United States,Residential,3.83272
21/02/2019,United States,Domestic Aviation,0.448996
21/02/2019,United States,Ground Transport,5.1494
21/02/2019,United States,Industry,3.10835
21/02/2019,United States,International Aviation,0.191894
21/02/2019,United States,Power,4.71904
21/02/2019,United States,Residential,3.25797
22/02/2019,United States,Domestic Aviation,0.458516
22/02/2019,United States,Ground Transport,5.16466
22/02/2019,United States,Industry,2.9439
22/02/2019,United States,International Aviation,0.199679
22/02/2019,United States,Power,4.46938
22/02/2019,United States,Residential,3.16236
23/02/2019,United States,Domestic Aviation,0.407561
23/02/2019,United States,Ground Transport,2.9586
23/02/2019,United States,Industry,2.96656
23/02/2019,United States,International Aviation,0.205159
23/02/2019,United States,Power,4.50377
23/02/2019,United States,Residential,2.99312
24/02/2019,United States,Domestic Aviation,0.374635
24/02/2019,United States,Ground Transport,4.10055
24/02/2019,United States,Industry,2.54379
24/02/2019,United States,International Aviation,0.208016
24/02/2019,United States,Power,3.86194
24/02/2019,United States,Residential,2.80173
25/02/2019,United States,Domestic Aviation,0.414961
25/02/2019,United States,Ground Transport,3.90573
25/02/2019,United States,Industry,2.5977
25/02/2019,United States,International Aviation,0.199849
25/02/2019,United States,Power,3.94378
25/02/2019,United States,Residential,3.46166
26/02/2019,United States,Domestic Aviation,0.446027
26/02/2019,United States,Ground Transport,4.85744
26/02/2019,United States,Industry,2.91669
26/02/2019,United States,International Aviation,0.193914
26/02/2019,United States,Power,4.42806
26/02/2019,United States,Residential,3.45363
27/02/2019,United States,Domestic Aviation,0.452742
27/02/2019,United States,Ground Transport,5.09973
27/02/2019,United States,Industry,3.03111
27/02/2019,United States,International Aviation,0.182828
27/02/2019,United States,Power,4.60178
27/02/2019,United States,Residential,3.22936
28/02/2019,United States,Domestic Aviation,0.46551
28/02/2019,United States,Ground Transport,5.1494
28/02/2019,United States,Industry,3.03502
28/02/2019,United States,International Aviation,0.19974
28/02/2019,United States,Power,4.60771
28/02/2019,United States,Residential,3.43763
01/03/2019,United States,Domestic Aviation,0.4688
01/03/2019,United States,Ground Transport,5.20047
01/03/2019,United States,Industry,3.14646
01/03/2019,United States,International Aviation,0.20106
01/03/2019,United States,Power,4.79831
01/03/2019,United States,Residential,3.56148
02/03/2019,United States,Domestic Aviation,0.417421
02/03/2019,United States,Ground Transport,2.97912
02/03/2019,United States,Industry,3.07195
02/03/2019,United States,International Aviation,0.208912
02/03/2019,United States,Power,4.68469
02/03/2019,United States,Residential,3.32309
03/03/2019,United States,Domestic Aviation,0.389824
03/03/2019,United States,Ground Transport,4.12898
03/03/2019,United States,Industry,2.89713
03/03/2019,United States,International Aviation,0.206739
03/03/2019,United States,Power,4.41809
03/03/2019,United States,Residential,3.67855
04/03/2019,United States,Domestic Aviation,0.421186
04/03/2019,United States,Ground Transport,3.93281
04/03/2019,United States,Industry,2.9548
04/03/2019,United States,International Aviation,0.199321
04/03/2019,United States,Power,4.50603
04/03/2019,United States,Residential,4.70134
05/03/2019,United States,Domestic Aviation,0.458926
05/03/2019,United States,Ground Transport,4.89112
05/03/2019,United States,Industry,3.57945
05/03/2019,United States,International Aviation,0.198944
05/03/2019,United States,Power,5.45861
05/03/2019,United States,Residential,4.96613
06/03/2019,United States,Domestic Aviation,0.461096
06/03/2019,United States,Ground Transport,5.1351
06/03/2019,United States,Industry,3.60411
06/03/2019,United States,International Aviation,0.182986
06/03/2019,United States,Power,5.49622
06/03/2019,United States,Residential,4.70891
07/03/2019,United States,Domestic Aviation,0.477711
07/03/2019,United States,Ground Transport,5.18511
07/03/2019,United States,Industry,3.42868
07/03/2019,United States,International Aviation,0.201416
07/03/2019,United States,Power,5.22869
07/03/2019,United States,Residential,4.09541
08/03/2019,United States,Domestic Aviation,0.482211
08/03/2019,United States,Ground Transport,5.20047
08/03/2019,United States,Industry,3.18395
08/03/2019,United States,International Aviation,0.207071
08/03/2019,United States,Power,4.85547
08/03/2019,United States,Residential,3.44049
09/03/2019,United States,Domestic Aviation,0.433103
09/03/2019,United States,Ground Transport,2.97912
09/03/2019,United States,Industry,2.95336
09/03/2019,United States,International Aviation,0.209577
09/03/2019,United States,Power,4.50384
09/03/2019,United States,Residential,2.95542
10/03/2019,United States,Domestic Aviation,0.438708
10/03/2019,United States,Ground Transport,4.12898
10/03/2019,United States,Industry,2.44563
10/03/2019,United States,International Aviation,0.209405
10/03/2019,United States,Power,3.72956
10/03/2019,United States,Residential,2.59642
11/03/2019,United States,Domestic Aviation,0.45995
11/03/2019,United States,Ground Transport,3.93281
11/03/2019,United States,Industry,2.49996
11/03/2019,United States,International Aviation,0.207126
11/03/2019,United States,Power,3.8124
11/03/2019,United States,Residential,2.58687
12/03/2019,United States,Domestic Aviation,0.473091
12/03/2019,United States,Ground Transport,4.89112
12/03/2019,United States,Industry,2.76294
12/03/2019,United States,International Aviation,0.20012
12/03/2019,United States,Power,4.21344
12/03/2019,United States,Residential,2.63129
13/03/2019,United States,Domestic Aviation,0.461316
13/03/2019,United States,Ground Transport,5.1351
13/03/2019,United States,Industry,2.55573
13/03/2019,United States,International Aviation,0.190004
13/03/2019,United States,Power,3.89744
13/03/2019,United States,Residential,2.33013
14/03/2019,United States,Domestic Aviation,0.462001
14/03/2019,United States,Ground Transport,5.18511
14/03/2019,United States,Industry,2.41391
14/03/2019,United States,International Aviation,0.202028
14/03/2019,United States,Power,3.68118
14/03/2019,United States,Residential,1.71477
15/03/2019,United States,Domestic Aviation,0.495112
15/03/2019,United States,Ground Transport,5.20047
15/03/2019,United States,Industry,2.32593
15/03/2019,United States,International Aviation,0.209579
15/03/2019,United States,Power,3.54701
15/03/2019,United States,Residential,1.88626
16/03/2019,United States,Domestic Aviation,0.444625
16/03/2019,United States,Ground Transport,2.97912
16/03/2019,United States,Industry,2.48268
16/03/2019,United States,International Aviation,0.21309
16/03/2019,United States,Power,3.78605
16/03/2019,United States,Residential,2.56906
17/03/2019,United States,Domestic Aviation,0.427217
17/03/2019,United States,Ground Transport,4.12898
17/03/2019,United States,Industry,2.49688
17/03/2019,United States,International Aviation,0.212479
17/03/2019,United States,Power,3.8077
17/03/2019,United States,Residential,2.8373
18/03/2019,United States,Domestic Aviation,0.456006
18/03/2019,United States,Ground Transport,3.93281
18/03/2019,United States,Industry,2.53229
18/03/2019,United States,International Aviation,0.205796
18/03/2019,United States,Power,3.8617
18/03/2019,United States,Residential,2.73577
19/03/2019,United States,Domestic Aviation,0.475841
19/03/2019,United States,Ground Transport,4.89112
19/03/2019,United States,Industry,2.78433
19/03/2019,United States,International Aviation,0.200315
19/03/2019,United States,Power,4.24607
19/03/2019,United States,Residential,2.61897
20/03/2019,United States,Domestic Aviation,0.478663
20/03/2019,United States,Ground Transport,5.1351
20/03/2019,United States,Industry,2.65543
20/03/2019,United States,International Aviation,0.194253
20/03/2019,United States,Power,4.04949
20/03/2019,United States,Residential,2.44228
21/03/2019,United States,Domestic Aviation,0.487176
21/03/2019,United States,Ground Transport,5.18511
21/03/2019,United States,Industry,2.65909
21/03/2019,United States,International Aviation,0.206151
21/03/2019,United States,Power,4.05508
21/03/2019,United States,Residential,2.29441
22/03/2019,United States,Domestic Aviation,0.487048
22/03/2019,United States,Ground Transport,5.20047
22/03/2019,United States,Industry,2.64505
22/03/2019,United States,International Aviation,0.2113
22/03/2019,United States,Power,4.03366
22/03/2019,United States,Residential,2.31426
23/03/2019,United States,Domestic Aviation,0.444535
23/03/2019,United States,Ground Transport,2.97912
23/03/2019,United States,Industry,2.42283
23/03/2019,United States,International Aviation,0.213144
23/03/2019,United States,Power,3.69479
23/03/2019,United States,Residential,2.38142
24/03/2019,United States,Domestic Aviation,0.425904
24/03/2019,United States,Ground Transport,4.12898
24/03/2019,United States,Industry,2.21477
24/03/2019,United States,International Aviation,0.212423
24/03/2019,United States,Power,3.3775
24/03/2019,United States,Residential,1.98742
25/03/2019,United States,Domestic Aviation,0.448317
25/03/2019,United States,Ground Transport,3.93281
25/03/2019,United States,Industry,2.21008
25/03/2019,United States,International Aviation,0.216417
25/03/2019,United States,Power,3.37034
25/03/2019,United States,Residential,1.85569
26/03/2019,United States,Domestic Aviation,0.472088
26/03/2019,United States,Ground Transport,4.89112
26/03/2019,United States,Industry,2.57156
26/03/2019,United States,International Aviation,0.195897
26/03/2019,United States,Power,3.92159
26/03/2019,United States,Residential,2.36952
27/03/2019,United States,Domestic Aviation,0.48142
27/03/2019,United States,Ground Transport,5.1351
27/03/2019,United States,Industry,2.50364
27/03/2019,United States,International Aviation,0.191539
27/03/2019,United States,Power,3.81802
27/03/2019,United States,Residential,2.21267
28/03/2019,United States,Domestic Aviation,0.495131
28/03/2019,United States,Ground Transport,5.18511
28/03/2019,United States,Industry,2.28882
28/03/2019,United States,International Aviation,0.206838
28/03/2019,United States,Power,3.49042
28/03/2019,United States,Residential,1.70413
29/03/2019,United States,Domestic Aviation,0.493628
29/03/2019,United States,Ground Transport,5.20047
29/03/2019,United States,Industry,2.26248
29/03/2019,United States,International Aviation,0.207868
29/03/2019,United States,Power,3.45025
29/03/2019,United States,Residential,1.51824
30/03/2019,United States,Domestic Aviation,0.442492
30/03/2019,United States,Ground Transport,2.97912
30/03/2019,United States,Industry,2.25689
30/03/2019,United States,International Aviation,0.216409
30/03/2019,United States,Power,3.44173
30/03/2019,United States,Residential,1.49677
31/03/2019,United States,Domestic Aviation,0.426746
31/03/2019,United States,Ground Transport,4.12898
31/03/2019,United States,Industry,2.04336
31/03/2019,United States,International Aviation,0.211976
31/03/2019,United States,Power,3.1161
31/03/2019,United States,Residential,2.27727
01/04/2019,United States,Domestic Aviation,0.451181
01/04/2019,United States,Ground Transport,3.94679
01/04/2019,United States,Industry,2.84985
01/04/2019,United States,International Aviation,0.219273
01/04/2019,United States,Power,3.59705
01/04/2019,United States,Residential,4.2357
02/04/2019,United States,Domestic Aviation,0.480033
02/04/2019,United States,Ground Transport,4.90851
02/04/2019,United States,Industry,3.14469
02/04/2019,United States,International Aviation,0.210054
02/04/2019,United States,Power,3.96921
02/04/2019,United States,Residential,3.53852
03/04/2019,United States,Domestic Aviation,0.472934
03/04/2019,United States,Ground Transport,5.15335
03/04/2019,United States,Industry,3.0794
03/04/2019,United States,International Aviation,0.208967
03/04/2019,United States,Power,3.8868
03/04/2019,United States,Residential,2.73665
04/04/2019,United States,Domestic Aviation,0.485112
04/04/2019,United States,Ground Transport,5.20354
04/04/2019,United States,Industry,2.85641
04/04/2019,United States,International Aviation,0.213967
04/04/2019,United States,Power,3.60534
04/04/2019,United States,Residential,2.33915
05/04/2019,United States,Domestic Aviation,0.490976
05/04/2019,United States,Ground Transport,5.21896
05/04/2019,United States,Industry,3.00404
05/04/2019,United States,International Aviation,0.219418
05/04/2019,United States,Power,3.79168
05/04/2019,United States,Residential,2.539
06/04/2019,United States,Domestic Aviation,0.429333
06/04/2019,United States,Ground Transport,2.98971
06/04/2019,United States,Industry,2.93824
06/04/2019,United States,International Aviation,0.222143
06/04/2019,United States,Power,3.70863
06/04/2019,United States,Residential,1.8891
07/04/2019,United States,Domestic Aviation,0.409918
07/04/2019,United States,Ground Transport,4.14366
07/04/2019,United States,Industry,2.60958
07/04/2019,United States,International Aviation,0.219723
07/04/2019,United States,Power,3.2938
07/04/2019,United States,Residential,1.18523
08/04/2019,United States,Domestic Aviation,0.454034
08/04/2019,United States,Ground Transport,3.94679
08/04/2019,United States,Industry,2.55618
08/04/2019,United States,International Aviation,0.218915
08/04/2019,United States,Power,3.22639
08/04/2019,United States,Residential,0.780623
09/04/2019,United States,Domestic Aviation,0.47677
09/04/2019,United States,Ground Transport,4.90851
09/04/2019,United States,Industry,3.00058
09/04/2019,United States,International Aviation,0.208671
09/04/2019,United States,Power,3.78731
09/04/2019,United States,Residential,1.15633
10/04/2019,United States,Domestic Aviation,0.509019
10/04/2019,United States,Ground Transport,5.15335
10/04/2019,United States,Industry,2.81778
10/04/2019,United States,International Aviation,0.259686
10/04/2019,United States,Power,3.55658
10/04/2019,United States,Residential,2.05464
11/04/2019,United States,Domestic Aviation,0.332265
11/04/2019,United States,Ground Transport,5.20354
11/04/2019,United States,Industry,2.67692
11/04/2019,United States,International Aviation,0.139274
11/04/2019,United States,Power,3.37879
11/04/2019,United States,Residential,2.39318
12/04/2019,United States,Domestic Aviation,0.49159
12/04/2019,United States,Ground Transport,5.21896
12/04/2019,United States,Industry,2.75389
12/04/2019,United States,International Aviation,0.217525
12/04/2019,United States,Power,3.47595
12/04/2019,United States,Residential,2.08568
13/04/2019,United States,Domestic Aviation,0.42605
13/04/2019,United States,Ground Transport,2.98971
13/04/2019,United States,Industry,2.77849
13/04/2019,United States,International Aviation,0.222584
13/04/2019,United States,Power,3.507
13/04/2019,United States,Residential,1.80484
14/04/2019,United States,Domestic Aviation,0.386545
14/04/2019,United States,Ground Transport,4.14366
14/04/2019,United States,Industry,2.61197
14/04/2019,United States,International Aviation,0.221687
14/04/2019,United States,Power,3.29681
14/04/2019,United States,Residential,2.09723
15/04/2019,United States,Domestic Aviation,0.449877
15/04/2019,United States,Ground Transport,3.94679
15/04/2019,United States,Industry,2.58467
15/04/2019,United States,International Aviation,0.21851
15/04/2019,United States,Power,3.26235
15/04/2019,United States,Residential,2.2766
16/04/2019,United States,Domestic Aviation,0.484827
16/04/2019,United States,Ground Transport,4.90851
16/04/2019,United States,Industry,2.68729
16/04/2019,United States,International Aviation,0.209284
16/04/2019,United States,Power,3.39187
16/04/2019,United States,Residential,1.96661
17/04/2019,United States,Domestic Aviation,0.484188
17/04/2019,United States,Ground Transport,5.15335
17/04/2019,United States,Industry,2.68175
17/04/2019,United States,International Aviation,0.204022
17/04/2019,United States,Power,3.38489
17/04/2019,United States,Residential,1.35448
18/04/2019,United States,Domestic Aviation,0.483196
18/04/2019,United States,Ground Transport,5.20354
18/04/2019,United States,Industry,2.65291
18/04/2019,United States,International Aviation,0.218041
18/04/2019,United States,Power,3.34849
18/04/2019,United States,Residential,1.09857
19/04/2019,United States,Domestic Aviation,0.466802
19/04/2019,United States,Ground Transport,5.21896
19/04/2019,United States,Industry,2.6191
19/04/2019,United States,International Aviation,0.218682
19/04/2019,United States,Power,3.30581
19/04/2019,United States,Residential,1.29968
20/04/2019,United States,Domestic Aviation,0.422537
20/04/2019,United States,Ground Transport,2.98971
20/04/2019,United States,Industry,2.58721
20/04/2019,United States,International Aviation,0.217147
20/04/2019,United States,Power,3.26556
20/04/2019,United States,Residential,1.61491
21/04/2019,United States,Domestic Aviation,0.394522
21/04/2019,United States,Ground Transport,4.14366
21/04/2019,United States,Industry,2.20384
21/04/2019,United States,International Aviation,0.222416
21/04/2019,United States,Power,2.78167
21/04/2019,United States,Residential,1.49592
22/04/2019,United States,Domestic Aviation,0.459904
22/04/2019,United States,Ground Transport,3.94679
22/04/2019,United States,Industry,2.05431
22/04/2019,United States,International Aviation,0.216734
22/04/2019,United States,Power,2.59293
22/04/2019,United States,Residential,1.06234
23/04/2019,United States,Domestic Aviation,0.482327
23/04/2019,United States,Ground Transport,4.90851
23/04/2019,United States,Industry,2.61533
23/04/2019,United States,International Aviation,0.212507
23/04/2019,United States,Power,3.30105
23/04/2019,United States,Residential,0.779782
24/04/2019,United States,Domestic Aviation,0.472967
24/04/2019,United States,Ground Transport,5.15335
24/04/2019,United States,Industry,2.84897
